name	id	initial_release_date	directed_by	produced_by	written_by	cinematography	edited_by	music	language	rating	estimated_budget	country	starring	runtime	locations	film_collections	soundtrack	featured_film_locations	genre	film_series	story_by	sequel	prequel	subjects	personal_appearances	dubbing_performances	film_format	costume_design_by	other_crew	trailers	distributors	other_film_companies	production_companies	tagline	release_date_s	netflix_id	film_festivals	nytimes_id	featured_song	metacritic_id	apple_movietrailer_id	rottentomatoes_id	executive_produced_by	film_casting_director	film_production_design_by	film_art_direction_by	film_set_decoration_by	traileraddict_id	gross_revenue	fandango_id	pre_production	filming	post_production	songs
Voices of a Distant Star	/m/01h8bf	2003-02-02	Makoto Shinkai						Japanese Language,English Language			Japan	/m/0gb5vfw,/m/0gb5vg6,/m/0gb5vgd	/m/0gb5v9g			Voices of a Distant Star,「ほしのこえ」 Soundtrack		Short Film,World cinema,Japanese Movies,Science Fiction,Anime,Romance Film,Animation																/m/0gl885s,/m/0j56qjp																			
My Favorite Year	/m/016k80	1982-10-01	Richard Benjamin	Mel Brooks,Joel Chernoff	Dennis Palumbo			Ralph Burns	English Language	PG (USA)		United States of America,United Kingdom	/m/0cg4xv4,/m/0gcp_mf,/m/04hv9qx,/m/0crz992,/m/04hv9r1,/m/0gc70mf,/m/0crrb42,/m/07sg9vn,/m/0cggz3w,/m/0crwrp5,/m/0cs68bm,/m/0dgk_wh,/m/0cs3j8x,/m/0gcydjw,/m/0gc1k33,/m/0cs4xlq,/m/0cg326z,/m/0cs6612,/m/0gc0yp5,/m/04sw0k4	/m/0k0_yz				New York City	World cinema,Comedy									May Routh			/m/05t5nzm				/m/0j58hfl																			
Possessed	/m/01937g	1947-07-26	Curtis Bernhardt	Jerry Wald	Ranald MacDougall,Lawrence Menkin,Rita Weiman,Silvia Richards	Joseph A. Valentine	Rudi Fehr	Franz Waxman	English Language			United States of America	/m/0cg18s6,/m/0cs3cv7,/m/0cf_46y,/m/05ns_0y,/m/0k21bd,/m/0gcdr5k,/m/0k21b2,/m/02vch39,/m/0k21b7,/m/0gc7384,/m/0gc32k0	/m/0k21c1					Romantic drama,Black-and-white,Film noir,Romance Film,Drama,Crime Fiction,Thriller												/m/05t5pjn		Warner Bros. Entertainment		/m/0gl7x6q		1947 Cannes Film Festival,1982 Berlin International Film Festival									Anton Grot	Fred M. MacLean							
A Double Life	/m/01382t	1947-12-25	George Cukor	Michael Kanin	Ruth Gordon,Garson Kanin	Milton R. Krasner	Robert Parrish	Miklós Rózsa	English Language			United States of America	/m/0cg33g2,/m/0cg12mk,/m/0jsqng,/m/05mc67c,/m/0gc2v2f,/m/0cg1m20,/m/0cg92kg,/m/0cw0gmx,/m/0jsqn9,/m/0gbzdry,/m/0jsqn4	/m/0jsqnr,/m/0cg1p_q					Thriller,Film noir,Crime Thriller,Crime Fiction,Black-and-white,Drama		William Shakespeare								/m/0g4sctm		/m/059qn8q				/m/0gl7bzq		2011 San Francisco Film Noir Festival								Harry Horner	Bernard Herzbrun	John P. Austin,Russell A. Gausman							
The Medúlla Videos	/m/0265b9h	2005										United States of America	/m/0gxgs20	/m/0cs3cz9					Music,Short Film																																			
Spanish Fly	/m/01trvx	2003	Will Wallace									United States of America	/m/03jstsb,/m/04hv40h,/m/04hv40b						Comedy,Drama																																			
9/11	/m/0198lt	2002-03-10	Gedeon Naudet,Jules Naudet,James Hanlon						English Language			France,United States of America		/m/03l76yd					Culture & Society,Documentary,Social issues,Biography					Terrorism							/m/0hnh2yh																							
Seance on a Wet Afternoon	/m/01dvsb	1964-06-20	Bryan Forbes	Richard Attenborough,Bryan Forbes	Bryan Forbes	Gerry Turpin		John Barry	English Language			United Kingdom	/m/09hxs1p,/m/04d4q_z,/m/0cgjfsy,/m/04d4r03,/m/0k303b,/m/0cgjfs1,/m/0cgjftr,/m/0cgjfvs,/m/0k3035,/m/0cgjfr1,/m/0cgjfrg,/m/0cgjftb,/m/0cgjfvb	/m/0k303m					Film adaptation,Crime Fiction,Thriller,Crime Drama,Horror,Drama		Mark McShane										/m/0hvkpjp				/m/0cgjfwk																			
The Paradine Case	/m/01q65n	1947	Alfred Hitchcock	David O. Selznick	Alma Reville,Ben Hecht,James Bridie,David O. Selznick	Lee Garmes		Paul Dessau,Franz Waxman	English Language		/m/0h17dq9	United States of America	/m/02vb2x8,/m/0k6220,/m/0k622n,/m/0k622t,/m/0gyhftx,/m/0k6225,/m/0k622b,/m/0k622h,/m/0k621w,/m/0k621q	/m/0k6231,/m/0gw9j1f,/m/07y5f6m					Suspense,Film noir,Mystery,Courtroom Drama,Drama,Black-and-white		Robert Smythe Hichens							Travis Banton							/m/0j56vds,/m/0glbkh8		1993 Berlin International Film Festival								Joseph McMillan Johnson		Emile Kuri							
Malcolm X	/m/01rwyq	1992-11-18	Spike Lee	Spike Lee,Marvin Worth	Alex Haley,Spike Lee	Ernest R. Dickerson	Barry Alexander Brown	Terence Blanchard	English Language	PG-13 (USA)	/m/0k0cx3	United States of America	/m/0h2tdr4,/m/0cg3x72,/m/0k0cwk,/m/02xkm75,/m/03jqf11,/m/0k0cwd,/m/03jshxh,/m/0k0cvs,/m/03js3d4,/m/0k0cvy,/m/03jsnx5,/m/0h4_91d,/m/0k0cw7,/m/0cg2w8m,/m/02vdb0d,/m/0k0cw2,/m/0cw0jnw	/m/0csgydp,/m/0k0cwv,/m/0kn5zv0			Malcolm X,Malcolm X	New York City	Biography,Drama,Political drama,Period piece,Biographical film					Racism				Ruth E. Carter			/m/05t5sby		40 Acres & A Mule Filmworks		/m/0gl8whb		1993 Berlin International Film Festival								Wynn Thomas	Tom Warren								
Twin Peaks: Fire Walk With Me	/m/01kjr0	1992-05	David Lynch	Gregg Fienberg	David Lynch,Robert Engels	Ronald Victor Garcia	Mary Sweeney	Angelo Badalamenti	English Language	R (USA)	/m/0jy7c5	United States of America,France	/m/0jy7bb,/m/0cg0qc9,/m/02k7_qb,/m/0jy7bh,/m/0jy79k,/m/03jstqt,/m/0jy7bn,/m/0jy79w,/m/02wmj12,/m/0cg3gb0,/m/0jy79q,/m/04nlq1w,/m/0jy7b5,/m/052b6dd,/m/0jy7b0	/m/0jy7by,/m/062tc39			Twin Peaks: Fire Walk With Me		Supernatural,Mystery,Crime Thriller,Suspense,Drama,Psychological thriller,Experimental film,Crime Fiction,Horror,Surrealism,Avant-garde,Thriller									Patricia Norris			/m/05t5r28			In a town like Twin Peaks, no one is innocent.,Meet Laura Palmer... In a town where nothing is as it seems... And everyone has something to hide.,These are the last seven days of Laura Palmer.	/m/0j58hkj,/m/0jsphcw,/m/0glbd3g		1992 Cannes Film Festival						Mark Frost,David Lynch	Johanna Ray	Patricia Norris									
Ronin	/m/015qnh	1998-09-12	John Frankenheimer	Frank Mancuso Jr.	David Mamet,J.D. Zeik	Robert Fraisse	Antony Gibbs	Elia Cmiral	French Language,English Language,Russian Language	R (USA)	/m/0k2p7j	United Kingdom,United States of America	/m/0k2p6_,/m/0bhg5cl,/m/0k2p66,/m/0k2p6c,/m/02h7sq6,/m/0k2p6j,/m/0ggd4y1,/m/0k2p6v,/m/03jt8v5,/m/0k2p6p	/m/0cfzgp0,/m/0k2p78			Ronin	Paris	Action Thrillers,Crime Fiction,Chase Movie,Spy,Action,Thriller		J.D. Zeik						Super 35 mm film	May Routh	/m/0gkjnbs,/m/0ghhj9g,/m/0ghhj86,/m/0ghhjb6,/m/0ghhj9b,/m/0ghhj8q,/m/0ghhj9q,/m/0ghhj96,/m/0ghhj82,/m/0ghhj92,/m/0ghhj9v,/m/0ghhj9z,/m/0ghhjbz,/m/0ghhj8b,/m/0ghhj8g,/m/0ghhj8z,/m/0ghhj8l,/m/0ghhjbb,/m/0ghhjc2,/m/0ghhj7v		/m/08cqgwl,/m/07y5d4k		United Artists	Loyalty is bought, betrayal is a way of life...	/m/0j56d6y,/m/0j57tzy,/m/0jsn1tm								Paul Kelmenson	Amanda Mackey Johnson,Margot Capelier,Cathy Sandrich	Michael Z. Hanan	Gérard Viard	Robert Le Corre							
Homicidal	/m/025s9h0	1961	William Castle	William Castle	Robb White	Burnett Guffey		Hugo Friedhofer	English Language			United States of America	/m/0cg00fr,/m/02vcznv,/m/02vc36x,/m/02vbjwg,/m/0cg4hqd,/m/0b6vlqv	/m/03l9qst					Horror,Slasher												/m/059rrhn			The story of a psychotic killer!,There will be a special FRIGHT BREAK during the showing of Homicidal. Can your heart stand the challenge when the clock starts the COUNTDOWN!	/m/0j57_9t											Cary Odell	Darrell Silvera							
Sorry, Wrong Number	/m/0193ch	1948-09-01	Anatole Litvak	Hal B. Wallis,Anatole Litvak	Lucille Fletcher	Sol Polito	Warren Low	Franz Waxman	English Language			United States of America	/m/0k3kpg,/m/0gczwww,/m/0csbjm0,/m/0cg98pk,/m/0k3kpy,/m/0k3kps,/m/0cg5cwx,/m/0cg3_14,/m/0k3kpm	/m/0cg2d0f,/m/0k3kq5					Psychological thriller,Crime Fiction,Thriller,Drama,Mystery,Crime Thriller,Film noir									Edith Head			/m/05nn7qn		Paramount Pictures	Tangled Wires... Whispering of Murder! Tangled Lives... Fighting to Escape!,The most famous radio drama of all time now electrifies the screen!	/m/0glb0fx,/m/0j58h0j		2011 San Francisco Film Noir Festival									A. Earl Hedrick,Hans Dreier	Bertram C. Granger,Samuel M. Comer							
The Man with the Golden Arm	/m/015d7j	1955-12-14	Otto Preminger	Otto Preminger	Walter Newman,Ben Hecht,Lewis Meltzer	Sam Leavitt	Louis R. Loeffler	Elmer Bernstein	English Language			United States of America	/m/0gck814,/m/0gcy6jd,/m/03jpqvz,/m/0gcxqk0,/m/0k5vwg,/m/0gcf2s0,/m/0gc06by,/m/0gc72lg,/m/0gc7n1c,/m/0k5vw4,/m/0gcbmdr,/m/0k5vw9	/m/0gw9rv9,/m/0k5vwt					Addiction Drama,Melodrama,Drama,Black-and-white,Film adaptation		Nelson Algren										/m/07y5d3h				/m/0j591r1,/m/0gl9mf9		1999 Berlin International Film Festival								Joseph C. Wright		Darrell Silvera							
Rocky II	/m/0135_9	1979-06-15	Sylvester Stallone	Irwin Winkler,Robert Chartoff	Sylvester Stallone	Bill Butler		Bill Conti	English Language	PG (USA)	/m/0h17m_z	United States of America	/m/0k2n3v,/m/0cs8f08,/m/0k2n3p,/m/0k2n36,/m/02vbpqj,/m/0gc7q78,/m/0cg4cc3,/m/0cg67g6,/m/0k2n3c,/m/0gcy3q7,/m/0k2n3j,/m/0cg3ppd	/m/03l53f7,/m/05nn6fw,/m/0k2n42			Rocky II	Philadelphia Museum of Art,Philadelphia	Boxing,Sports,Drama,New Hollywood	Rocky		Rocky III	Rocky	Boxing							/m/07y5d1g			The story continues...	/m/0jsp3fy,/m/0j58qnw,/m/0j57w63																			
Fargo	/m/011yhm	1996-03-08	Ethan Coen,Joel Coen	Joel Coen,Ethan Coen	Joel Coen,Ethan Coen	Roger Deakins	Roderick Jaynes,Ethan Coen,Joel Coen	Carter Burwell	English Language	R (USA)	/m/0h17723	United Kingdom,United States of America	/m/0gcc791,/m/0jy2wk,/m/0jy2wq,/m/0jy2ww,/m/0jy2wd,/m/0h4yjyg,/m/03jspc9,/m/0gcl46x,/m/0gckz93,/m/0jy2x0	/m/0jy2x8,/m/075qsdn				Stillwater	Neo-noir,Black comedy,Thriller,Indie,Crime Fiction,Drama,Comedy									Mary Zophres			/m/0hzvpqc,/m/0j2f6dc,/m/0bm_6b9		Gramercy Pictures,Working Title Films,PolyGram Filmed Entertainment	Small town. Big crime. Dead cold.,An ordinary place, an extraordinary thriller,A homespun murder story.,A Lot Can Happen In The Middle Of Nowhere.,a homespun murder story	/m/0jsmxl_,/m/0j593sz		1997 Karlovy Vary International Film Festival,1996 Cannes Film Festival						Tim Bevan,Eric Fellner	John S. Lyons	Rick Heinrichs	Thomas P. Wilkins	Lauri Gaffin							
The Gospel According to St. Matthew	/m/012j85	1964	Pier Paolo Pasolini	Alfredo Bini	Pier Paolo Pasolini	Tonino Delli Colli		Luis Bacalov,Carlo Rustichelli	Italian Language			Italy,France	/m/075pny7,/m/075pnxq,/m/075pnxx,/m/075pnxc	/m/0csfttw,/m/03l4m86					World cinema,Christian film,Biographical film,Hagiography,Historical drama,Art film,Drama,Costume drama									Danilo Donati							/m/0j58n2x,/m/0glbm04,/m/0j56vp0,/m/0j58w9k										Luigi Scaccianoce									
Mucha Lucha: The Return of El Malefico	/m/04j1_gr	2004	Ron Hughart										/m/04j1_gt,/m/04j1_gz						Animation																																			
Kyouki No Sakura	/m/04j1_l2	2004	Kenji Sonoda						Japanese Language			Japan	/m/04j1_l9,/m/04j1_l4,/m/0cg2370	/m/0cfzvr7					World cinema,Drama,Action/Adventure,Japanese Movies																																			
Bikini Bandits: Briefs, Shorts & Panties	/m/04j1_yf	2004	Steve Grasse										/m/0gc8b1r,/m/0gc87z1,/m/0gcjmll,/m/0gchmnh,/m/0gc73zd,/m/04j1_yh,/m/0gck5k1,/m/0gck9n1	/m/0cg29kn					Action/Adventure,Comedy,Cult,Action						/m/0jmywvy																													
Sette Scialli Di Seta Gialla	/m/04j1fsq	1972-08-12	Sergio Pastore						Italian Language			Italy	/m/0gc074t,/m/0gcpnf5,/m/0gb_hss,/m/04j1fss,/m/0gclwf9,/m/0gc6drk,/m/0gdknr3,/m/0gcj12d	/m/0cfzt8t,/m/0kvtn0q					Giallo,World cinema,Thriller,Mystery,Horror																																			
Care Bears: Season of Caring	/m/04j1gcg	1988											/m/04j1gcj																																									
The Purple Vigilantes	/m/04j1gtz	1938	George Sherman	Sol C. Siegel									/m/0cs9rf4,/m/0gchr72,/m/04j1gv1,/m/0gcg3jm,/m/0gcdtgl,/m/0cf_77f,/m/0gch8sf,/m/0cgdr64,/m/0cf_r9t,/m/0cg0t06,/m/04j1gv6	/m/0h424l8,/m/0cg0w1d					Action/Adventure,Adventure,Western,B-Western	The Three Mesquiteers											/m/0hvmlvk																							
Cuando Todo Este En Orden	/m/04j1lls	2002	Cesar Martinez Herrada						Spanish Language			Spain	/m/0gbzcps,/m/04j1llv,/m/0cs6p2l,/m/0gcjwsv,/m/0cgnrmt,/m/0gcgh3b,/m/0gc5h38	/m/0cg6zj4					Family Drama,Drama,World cinema																																			
The American	/m/04j1nlh	2001											/m/04j1nlr,/m/04j1nll						Comedy,Melodrama																																			
Tenacious D: Time Fixers	/m/03npky5						David Rennie		English Language			United States of America	/m/0k00hb8,/m/0k00m97,/m/0k00hsw,/m/0k00hm8,/m/0k00n25						Short Film			Tenacious D in The Pick of Destiny																																
Frozen Impact	/m/04j1vyp	2003	Neil Kinsella										/m/0h4zl67,/m/0cr_6rq,/m/0cg97m4,/m/04j1vyr,/m/0cfz_7v,/m/0gdktqn,/m/04j1vyx,/m/0gc1w0r,/m/0gcn5zc,/m/0gcmvgv	/m/0cg30mb					Action/Adventure,Adventure,Thriller,Action,Disaster,Television movie																																			
The Elm-Chanted Forest	/m/04jfcsf	1988	Doro Vlado Hreljanovic,Milan Blažeković	Doro Vlado Hreljanovic	Fred P. Sharkey	Ernest Gregl	Zlata Reic	Zivan Cvitkovic,Arsen Dedić,Dennis Leogrande	Croatian language			United States of America,Yugoslavia,Croatia	/m/0lzlp40,/m/0lzlp36,/m/0lzlp8c,/m/0lzlp5b,/m/0lzlp4h,/m/0lzlp5t,/m/0lzlp3q,/m/0lzlp9d,/m/0lzlp6y,/m/0lzlp7t,/m/0lzlp63,/m/0lzlp78,/m/0lzlp6n,/m/0lzlp8x,/m/0lzlp50	/m/04lrg9r					Fantasy,Family Film,Musical,Animation		Suncana Skrinjaric	The Magician's Hat													/m/0lzl4th,/m/0lzl4tq								Vlado Teresak,Doro Vlado Hreljanovic											
14 Kilometros	/m/04nrn47	2007	Gerardo Olivares	Wanda Visión,José Maria Morales,Óscar Portillo,Miguel Morales	Gerardo Olivares	Alberto Moro	Raquel Torres	Santi Vega	Spanish Language,Arabic Language			Spain	/m/04nrn6f,/m/04nrn62,/m/04nrn6s	/m/0ghx1qx					Drama								35 mm film										2008 Guadalajara International Film Festival,2008 Karlovy Vary International Film Festival																	
Conozca la cabeza de Juan Pérez	/m/04nrwc2	2008	Emilio Portes	Rodrigo Herranz Fanjul	Emilio Portes							Mexico	/m/04nrwkw,/m/04nrwhj,/m/04nrwj0,/m/04nrwhp,/m/04nrwk6,/m/04nrwkj,/m/04nrwl6,/m/04nrwjc,/m/04nrwjw,/m/04nrwjq,/m/04nrwkc						Comedy																		2008 Guadalajara International Film Festival,2008 Expresión en Corto International Film Festival																	
Breathful	/m/0465dpk	2007	Daryush Shokof	Taies Farzan,Daryush Shokof	Daryush Shokof	Daryoush Zandi	Daryoush Zandi,Daryush Shokof,Tom Dokoupil	Tom Dokoupil	English Language			United States of America,Germany	/m/0n6522h,/m/0n6523r,/m/0n65219,/m/0n6524c,/m/0n6526l,/m/0n65223,/m/0n651_p,/m/0n65207,/m/0n6524_,/m/0n65292,/m/0n6528n,/m/0n65233,/m/0n65276,/m/0n65288,/m/0n6520y	/m/0n651zn					Comedy		Daryush Shokof							Taies Farzan	/m/0n652wt,/m/0n652rq,/m/0n652sj,/m/0n652r9						/m/0n651_5,/m/0n651_d								Vadim Glowna,Taies Farzan,Raymond Tarabay,Mario von Jascheroff		Daryush Shokof,Claudia Guilino	Claudia Guilino,Daryush Shokof,Claudia Guillino	Claudia Guilino							
Alley to Bali	/m/047fx2m		Don Patterson	Walter Lantz				Clarence Wheeler	English Language				/m/052dmqd,/m/09j17zt						Animation			Under the Counter Spy	Socko in Morocco																															
Queen of the Night	/m/04gr269	2001	Branko Schmidt	Vesna Mort	Josip Cvenić	Silvije Jesenković	Vesna Lažeta	Ante Mažuran	Serbian language,Croatian language			Croatia	/m/0gsytj6,/m/0gsytj0,/m/0gsytjd	/m/0gsyth2					Sports,Drama								35 mm film										2002 Karlovy Vary International Film Festival								Dusan Jericevic									
The Cream of Irish Comedy	/m/04j1yhz	2002											/m/0gcj1xz,/m/0gc7p80,/m/0gbyqd0,/m/0gc0y04,/m/04j1yj0,/m/0gc0vgf,/m/0gcf59s,/m/0gchzzx,/m/0gcdsxj,/m/0csfv36	/m/0cg1xvq					World cinema,Concert film,Comedy,Stand-up comedy																																			
Raging Sharks	/m/04j1ynv	2005-02-01	Danny Lerner						English Language			Bulgaria,United States of America	/m/0cg709x,/m/0cg1rqy,/m/0cw01zh,/m/04j1ynx	/m/0b_hb72					Horror,Natural horror films,Sci-Fi Horror,Thriller,Science Fiction,Action																										Carlos Silva Da Silva									
My Name Is Juani	/m/03gs74l	2006	Bigas Luna	Bigas Luna,Luis de Val	Carmen Chaves,Bigas Luna	Albert Pascual	Jaume Martí		Spanish Language,English Language			Spain	/m/0gj4q6p,/m/0gj4q7h,/m/0gj4q73,/m/0cgj_3d,/m/0gj4q7b,/m/0gj4q6x	/m/040mj3l,/m/0gj4q83			Yo soy la Juani		Comedy,Drama								35 mm film										2007 Karlovy Vary International Film Festival								Chu Uroz									
Kanyini	/m/04gqg_y	2006-08-31	Michelle Hogan						English Language			Australia	/m/0gb5vz2	/m/0gb5vzw					Documentary																																			
The Soft Kill	/m/04j20sg	1995	Eli Cohen							R (USA)		United States of America	/m/04j20sj,/m/0cgbgq5,/m/04j20sp,/m/0crv1zm	/m/0cg3p5m					Mystery,Psychological thriller,Indie,Thriller																/m/0gl7gvy																			
The Boys of Sunset Ridge	/m/04j24cz	2001	Doug McKeon							R (USA)			/m/0csbvp6,/m/04j24d5,/m/04j24d0,/m/0cf_z5h,/m/0gbxx5h,/m/0cs2brm,/m/0gc6fb2,/m/0h33ktk,/m/0cf_v_y	/m/0cfzkmy					Ensemble Film,Sports,Drama,Buddy film,Comedy-drama																																			
Morgan Stewart's Coming Home	/m/042p0m	1987	Paul Aaron,Alan Smithee,Terry Winsor,Terry Winsor	Stephen J. Friedman				Peter L. Bernstein,Peter Bernstein	English Language	PG-13 (USA)		United States of America	/m/0gb_g6z,/m/0gc9w20,/m/06643gg,/m/0gclw62,/m/06643g9,/m/03jql76,/m/06643gm,/m/0gclkq2,/m/0gck94x,/m/03kx9cf	/m/03kx9c8,/m/0cg8bky					Teen,Indie,Comedy,Romance Film,Domestic Comedy									Molly Maginnis																										
Talons of the Eagle	/m/04j27gv	1992	Michael Kennedy							R (USA)			/m/0gdm4tn,/m/0gcq843,/m/0gcd3z3,/m/0cg0r4t,/m/0gcyj8g,/m/04j27h1,/m/0gdnz8x,/m/04j27gx	/m/0glbfll,/m/0cf_hnq					Martial Arts Film,Thriller,Action/Adventure,Action Thrillers,Crime Fiction,Action																/m/0glbflf																			
Black and White in Color	/m/04j2__7	1976-09-22	Jean-Jacques Annaud	Jacques Perrin,Arthur Cohn	Jean-Jacques Annaud		Françoise Bonnot	Pierre Bachelet	French Language	PG (USA)		Switzerland,Côte d’Ivoire,France,Germany	/m/03jqv7g,/m/0gcdrb_,/m/0gbyjvc,/m/04j2__b,/m/0gcgmyn,/m/0cvcgrn,/m/0gc9b26,/m/0gdlk8f,/m/0cvccj7,/m/0h6yhvp,/m/0gcnp3w	/m/0cvcpch,/m/03lsc6h			Black and White in Color		Comedy,War film,Political satire,Black comedy,World cinema,Political cinema					World War I											/m/0gl9nm7																			
Wizard of Darkness	/m/04j2fxj	1995	Shimako Sato						Japanese Language			Japan	/m/0gcy0j7,/m/04j2fxl,/m/0gb_d78,/m/0gczqd2,/m/0gcxb_t,/m/0gcl4wm	/m/0cg3v4w					Japanese Movies,Horror,World cinema																																			
Just	/m/04p41_h	2007	David Maurice Gil	David Maurice Gil,Edward Gunawan	Edward Gunawan							United States of America	/m/04p6t6r,/m/04p6t6y						Drama,Short Film																		2008 Seattle International Film Festival																	
